date,precip,tmin
9/17/2021,0.13,66
9/18/2021,0.08,65
9/19/2021,0,56
9/20/2021,0,54
9/21/2021,0.05,54
9/22/2021,0,68
9/23/2021,0.52,63
9/24/2021,0.59,54
9/25/2021,0,52
9/26/2021,0,56
9/27/2021,0,55
9/28/2021,0.1,55
9/29/2021,0,48
9/30/2021,0,47
10/1/2021,0,45
10/2/2021,0,48
10/3/2021,0,54
10/4/2021,0.54,58
10/5/2021,0,56
10/6/2021,0,55
10/7/2021,0,55
10/8/2021,0,57
10/9/2021,0,55
10/10/2021,0.13,58
10/11/2021,0,58
10/12/2021,0,56
10/13/2021,0,58
10/14/2021,0,59
10/15/2021,0,58
10/16/2021,0.23,56
10/17/2021,0,49
10/18/2021,0,45
10/19/2021,0,44
10/20/2021,0,52
10/21/2021,0,51
10/22/2021,0,
10/23/2021,0,
10/24/2021,0,
10/25/2021,0.44,52
10/26/2021,3.91,53
10/27/2021,0.08,48
10/28/2021,0,44
10/29/2021,0.54,42
10/30/2021,0.11,51
10/31/2021,0.01,50
11/1/2021,0,42
11/2/2021,0,41
11/3/2021,0,35
11/4/2021,0,32
11/5/2021,0,33
11/6/2021,0,31
11/7/2021,0,30
11/8/2021,0,40
11/9/2021,0,39
11/10/2021,0,39
11/11/2021,0,34
11/12/2021,0.51,41
11/13/2021,0.37,37
11/14/2021,0.01,35
11/15/2021,0,35
11/16/2021,0,34
11/17/2021,0,29
11/18/2021,0.05,41
11/19/2021,0.02,35
11/20/2021,0,27
11/21/2021,0,38
11/22/2021,0.04,33
11/23/2021,0,29
11/24/2021,0,25
11/25/2021,0,29
11/26/2021,0.11,35
11/27/2021,0,31
11/28/2021,0,30
11/29/2021,0,27
11/30/2021,0,24
12/1/2021,0,35
12/2/2021,0.02,39
12/3/2021,0,30
12/4/2021,0,30
12/5/2021,0,33
12/6/2021,0.3,40
12/7/2021,0,32
12/8/2021,0.01,32
12/9/2021,0,27
12/10/2021,0,32
12/11/2021,0.18,41
12/12/2021,0,34
12/13/2021,0,9
12/14/2021,0,33
12/15/2021,0.02,31
12/16/2021,0,46
12/17/2021,0,43
12/18/2021,0.03,38
12/19/2021,0.04,25
12/20/2021,0,20
12/21/2021,0,24
12/22/2021,0.13,32
12/23/2021,0,26
12/24/2021,0.03,27
12/25/2021,0.2,31
12/26/2021,0,36
12/27/2021,0.07,27
12/28/2021,0.01,33
12/29/2021,0.06,38
12/30/2021,0.01,40
12/31/2021,0,44
1/1/2022,0.47,47
1/2/2022,0.01,33
1/3/2022,0,19
1/4/2022,0,16
1/5/2022,0.19,24
1/6/2022,0,30
1/7/2022,0.18,22
1/8/2022,0,18
1/9/2022,0.09,19
1/10/2022,0,22
1/11/2022,0,10
1/12/2022,0,12
1/13/2022,0,25
1/14/2022,0,15
1/15/2022,0,6
1/16/2022,0.16,3
1/17/2022,1.24,31
1/18/2022,0,24
1/19/2022,0,19
1/20/2022,0.22,16
1/21/2022,0,9
1/22/2022,0,8
1/23/2022,0,19
1/24/2022,0,23
1/25/2022,0,24
1/26/2022,0,13
1/27/2022,0,7
1/28/2022,0.01,27
1/29/2022,0.03,10
1/30/2022,,9
1/31/2022,0,7
2/1/2022,0,13
2/2/2022,0,29
2/3/2022,0.53,35
2/4/2022,0.52,23
2/5/2022,0,14
2/6/2022,0,11
2/7/2022,0.09,27
2/8/2022,0.05,28
2/9/2022,0,22
2/10/2022,0,28
2/11/2022,0,25
2/12/2022,0,38
2/13/2022,0.09,22
2/14/2022,0,13
2/15/2022,0,14
2/16/2022,0,18
2/17/2022,0.23,43
2/18/2022,0.29,22
2/19/2022,0,18
2/20/2022,0,17
2/21/2022,0,29
2/22/2022,0.26,31
2/23/2022,0,32
2/24/2022,0,25
2/25/2022,0.52,23
2/26/2022,0,17
2/27/2022,0,25
2/28/2022,0,22
3/1/2022,0,24
3/2/2022,0,36
3/3/2022,0.01,21
3/4/2022,0,15
3/5/2022,0,21
3/6/2022,0.13,38
3/7/2022,0.05,45
3/8/2022,0,30
3/9/2022,0.39,32
3/10/2022,0,29
3/11/2022,0,27
3/12/2022,0.21,21
3/13/2022,0,20
3/14/2022,0,30
3/15/2022,0,39
3/16/2022,0,39
3/17/2022,0.17,41
3/18/2022,0,48
3/19/2022,0.14,47
3/20/2022,0,43
3/21/2022,0,41
3/22/2022,0,38
3/23/2022,0.12,34
3/24/2022,0.59,36
3/25/2022,0.03,40
3/26/2022,0.09,40
3/27/2022,0,26
3/28/2022,0,20
3/29/2022,0,21
3/30/2022,0,24
3/31/2022,0.16,
4/1/2022,0.35,
4/2/2022,0,36
4/3/2022,0.1,36
4/4/2022,0,37
4/5/2022,0.04,34
4/6/2022,0.28,45
4/7/2022,3.04,43
4/8/2022,0.16,45
4/9/2022,0.13,43
4/10/2022,0,40
4/11/2022,0,35
4/12/2022,0.05,47
4/13/2022,0,45
4/14/2022,0.13,53
4/15/2022,0,43
4/16/2022,0.21,44
4/17/2022,0,38
4/18/2022,0.61,32
4/19/2022,0.78,38
4/20/2022,0,41
4/21/2022,0,41
4/22/2022,0,42
4/23/2022,0,42
4/24/2022,0,43
4/25/2022,0,43
4/26/2022,0.03,49
4/27/2022,0,39
4/28/2022,0,38
4/29/2022,0,38
4/30/2022,0,38
5/1/2022,0.02,39
5/2/2022,0.15,50
5/3/2022,0,47
5/4/2022,0.08,48
5/5/2022,0,53
5/6/2022,0.57,49
5/7/2022,0.52,46
5/8/2022,0,45
5/9/2022,0,43
5/10/2022,0,50
5/11/2022,0,50
5/12/2022,0,56
5/13/2022,0,58
5/14/2022,0.17,60
5/15/2022,0.03,61
5/16/2022,0.12,59
5/17/2022,0,54
5/18/2022,0.01,52
5/19/2022,0.51,52
5/20/2022,0.18,50
5/21/2022,0,62
5/22/2022,0.23,65
5/23/2022,0,59
5/24/2022,0,51
5/25/2022,0,49
5/26/2022,0,49
5/27/2022,0.12,62
5/28/2022,0.69,57
5/29/2022,0,54
5/30/2022,0,57
5/31/2022,0,60
6/1/2022,0.4,56
6/2/2022,0.23,60
6/3/2022,0.03,59
6/4/2022,0,53
6/5/2022,0,48
6/6/2022,0,53
6/7/2022,0.06,55
6/8/2022,0.15,66
6/9/2022,0.84,63
6/10/2022,0,56
6/11/2022,0,60
6/12/2022,0.21,58
6/13/2022,0.91,63
6/14/2022,0,62
6/15/2022,0,62
6/16/2022,0.35,61
6/17/2022,0.05,67
6/18/2022,0,51
6/19/2022,0,53
6/20/2022,0,55
6/21/2022,0.08,56
6/22/2022,0.14,58
6/23/2022,0.12,55
6/24/2022,0,58
6/25/2022,0,63
6/26/2022,0,64
6/27/2022,0.15,66
6/28/2022,0,61
6/29/2022,0,59
6/30/2022,0,63
7/1/2022,0,63
7/2/2022,0,71
7/3/2022,0,65
7/4/2022,0,58
7/5/2022,0,64
7/6/2022,0,71
7/7/2022,0,64
7/8/2022,0.02,62
7/9/2022,0,65
7/10/2022,0,62
7/11/2022,0,61
7/12/2022,0,68
7/13/2022,0,69
7/14/2022,0,67
7/15/2022,0,64
7/16/2022,0,65
7/17/2022,0,70
7/18/2022,3.44,71
7/19/2022,0,70
7/20/2022,0,72
7/21/2022,0,71
7/22/2022,0.01,72
7/23/2022,0,71
7/24/2022,0,71
7/25/2022,0.03,74
7/26/2022,0,67
7/27/2022,0,62
7/28/2022,0,69
7/29/2022,0,73
7/30/2022,0,69
7/31/2022,0,63
8/1/2022,0.29,67
8/2/2022,0,66
8/3/2022,0,68
8/4/2022,0,69
8/5/2022,0,73
8/6/2022,0,72
8/7/2022,0.12,77
8/8/2022,0,78
8/9/2022,0,77
8/10/2022,0,72
8/11/2022,0.01,71
8/12/2022,0,64
8/13/2022,0,58
8/14/2022,0,60
8/15/2022,0,60
8/16/2022,0,63
8/17/2022,0,62
8/18/2022,0,62
8/19/2022,0,62
8/20/2022,0,67
8/21/2022,0,62
8/22/2022,0.36,70
8/23/2022,0,71
8/24/2022,,68
8/25/2022,0,67
8/26/2022,0.02,66
8/27/2022,0,69
8/28/2022,0,70
8/29/2022,0,69
8/30/2022,0.23,68
8/31/2022,0,66
9/1/2022,0,62
9/2/2022,0,57
9/3/2022,0,58
9/4/2022,0,66
9/5/2022,0.34,70
9/6/2022,0.85,64
9/7/2022,0,64
9/8/2022,0,61
9/9/2022,0,56
9/10/2022,0,59
9/11/2022,0.12,65
9/12/2022,0.2,66
9/13/2022,2.2,66
9/14/2022,0,60
9/15/2022,0,51
9/16/2022,0,49
9/17/2022,0,59
9/18/2022,0,61
9/19/2022,0.07,66
9/20/2022,0,60
9/21/2022,0,57
9/22/2022,0.48,54
9/23/2022,0,48
9/24/2022,0,47
9/25/2022,0.2,53
9/26/2022,0,56
9/27/2022,0,53
9/28/2022,0,50
9/29/2022,0,51
9/30/2022,0,47
10/1/2022,0.24,51
10/2/2022,0,49
10/3/2022,0,47
10/4/2022,0.45,46
10/5/2022,0.63,54
10/6/2022,0,50
10/7/2022,0,53
10/8/2022,0.01,40
10/9/2022,0,40
10/10/2022,0,47
10/11/2022,0,44
10/12/2022,0,48
10/13/2022,0.85,53
10/14/2022,0.09,46
10/15/2022,0,43
10/16/2022,0,46
10/17/2022,0.12,49
10/18/2022,0,42
10/19/2022,0,38
10/20/2022,0,40
10/21/2022,0,36
10/22/2022,0,39
10/23/2022,0,49
10/24/2022,0.43,53
10/25/2022,0.05,57
10/26/2022,0,58
10/27/2022,0,46
10/28/2022,0,40
10/29/2022,0,35
10/30/2022,0,34
10/31/2022,0.1,43
11/1/2022,0.14,54
11/2/2022,0,48
11/3/2022,0,43
11/4/2022,0,43
11/5/2022,0,58
11/6/2022,0,62
11/7/2022,0,51
11/8/2022,0,40
11/9/2022,0,34
11/10/2022,0,38
11/11/2022,1.36,51
11/12/2022,0.03,55
11/13/2022,0.08,39
11/14/2022,0,30
11/15/2022,0.32,28
11/16/2022,0.13,37
11/17/2022,0,34
11/18/2022,0,31
11/19/2022,0,28
11/20/2022,0,28
11/21/2022,0,21
11/22/2022,0,29
11/23/2022,0,34
11/24/2022,0,31
11/25/2022,0.05,39
11/26/2022,0,40
11/27/2022,0.46,36
11/28/2022,0,35
11/29/2022,0,29
11/30/2022,0.8,31
12/1/2022,0,31
12/2/2022,0,26
12/3/2022,0.46,37
12/4/2022,0,28
12/5/2022,0,24
12/6/2022,0.68,32
12/7/2022,0.41,53
12/8/2022,0,37
12/9/2022,0,30
12/10/2022,0,25
12/11/2022,0.07,30
12/12/2022,0,26
12/13/2022,0,23
12/14/2022,0,26
12/15/2022,0.56,28
12/16/2022,0.37,35
12/17/2022,0,33
12/18/2022,0,30
12/19/2022,0,28
12/20/2022,0,24
12/21/2022,0,23
12/22/2022,0.21,25
12/23/2022,0.73,7
12/24/2022,0,5
12/25/2022,0,12
12/26/2022,0,16
12/27/2022,0,26
12/28/2022,0,27
12/29/2022,0,30
12/30/2022,0,35
12/31/2022,0.34,38
1/1/2023,0.01,38
1/2/2023,0,32
1/3/2023,0.37,44
1/4/2023,0.07,48
1/5/2023,0,43
1/6/2023,0.2,40
1/7/2023,0,31
1/8/2023,0,26
1/9/2023,0,30
1/10/2023,0,35
1/11/2023,0,31
1/12/2023,0.31,34
1/13/2023,0.07,35
1/14/2023,0,28
1/15/2023,0,27
1/16/2023,0,26
1/17/2023,0,27
1/18/2023,0,40
1/19/2023,0.76,34
1/20/2023,0,38
1/21/2023,0,34
1/22/2023,0.37,33
1/23/2023,0.28,34
1/24/2023,0,32
1/25/2023,1.6,28
1/26/2023,0.4,36
1/27/2023,0,30
1/28/2023,0,32
1/29/2023,0,33
1/30/2023,0,34
1/31/2023,0.01,27
2/1/2023,0,24
2/2/2023,0,20
2/3/2023,0,5
2/4/2023,0,1
2/5/2023,0,22
2/6/2023,0,28
2/7/2023,0.05,23
2/8/2023,0,31
2/9/2023,0,28
2/10/2023,0,43
2/11/2023,0,28
2/12/2023,0,25
2/13/2023,0,36
2/14/2023,0,35
2/15/2023,0,34
2/16/2023,0.05,51
2/17/2023,0.1,30
2/18/2023,0,23
2/19/2023,0,30
2/20/2023,0,34
2/21/2023,0.15,34
2/22/2023,0.08,29
2/23/2023,0,35
2/24/2023,0,23
2/25/2023,0,19
2/26/2023,0,19
2/27/2023,0.21,25
2/28/2023,0.22,28
3/1/2023,0,25
3/2/2023,0,37
3/3/2023,0.16,28
3/4/2023,0.88,37
3/5/2023,0,34
3/6/2023,0,36
3/7/2023,0,30
3/8/2023,0,28
3/9/2023,0,30
3/10/2023,0.28,28
3/11/2023,0.23,34
3/12/2023,0,30
3/13/2023,0.66,37
3/14/2023,0.34,32
3/15/2023,0,32
3/16/2023,0,32
3/17/2023,0,38
3/18/2023,0.01,39
3/19/2023,0,27
3/20/2023,0,25
3/21/2023,0,34
3/22/2023,0,36
3/23/2023,0.12,46
3/24/2023,0,40
3/25/2023,0.18,39
3/26/2023,0,39
3/27/2023,0.2,34
3/28/2023,0,36
3/29/2023,0.02,30
3/30/2023,0,29
3/31/2023,0,28
4/1/2023,0.62,35
4/2/2023,0,31
4/3/2023,0,28
4/4/2023,0,41
4/5/2023,0,43
4/6/2023,0,45
4/7/2023,0,39
4/8/2023,0,32
4/9/2023,0,33
4/10/2023,0,35
4/11/2023,0,40
4/12/2023,0,60
4/13/2023,0,52
4/14/2023,0,59
4/15/2023,0.09,58
4/16/2023,0.01,54
4/17/2023,0.03,51
4/18/2023,0,44
4/19/2023,0,41
4/20/2023,0,39
4/21/2023,0,45
4/22/2023,0.77,48
4/23/2023,1.31,48
4/24/2023,0,40
4/25/2023,0,41
4/26/2023,0.04,37
4/27/2023,0.05,41
4/28/2023,0.16,45
4/29/2023,1.69,46
4/30/2023,2,50
5/1/2023,0.09,44
5/2/2023,0.22,43
5/3/2023,0,44
5/4/2023,0.01,45
5/5/2023,0,43
5/6/2023,0,42
5/7/2023,0.03,47
5/8/2023,0,53
5/9/2023,0,45
5/10/2023,0,43
5/11/2023,0,47
5/12/2023,0,54
5/13/2023,0,59
5/14/2023,0,50
5/15/2023,0,43
5/16/2023,0,57
5/17/2023,0,43
5/18/2023,0,39
5/19/2023,0,43
5/20/2023,1.48,50
5/21/2023,0.01,54
5/22/2023,0,51
5/23/2023,0,50
5/24/2023,0.03,47
5/25/2023,0,46
5/26/2023,0,46
5/27/2023,0,50
5/28/2023,0,50
5/29/2023,0,54
5/30/2023,0,48
5/31/2023,0,44
6/1/2023,0,53
6/2/2023,0.01,59
6/3/2023,0,50
6/4/2023,0,44
6/5/2023,0,48
6/6/2023,0.2,52
6/7/2023,0,50
6/8/2023,0,45
6/9/2023,0.03,52
6/10/2023,0,51
6/11/2023,0,58
6/12/2023,0.1,63
6/13/2023,0,58
6/14/2023,0.24,55
6/15/2023,0,59
6/16/2023,0,59
6/17/2023,0,58
6/18/2023,0,59
6/19/2023,0,61
6/20/2023,0,60
6/21/2023,0,57
6/22/2023,0,59
6/23/2023,0,62
6/24/2023,0,52
6/25/2023,0,67
6/26/2023,0,68
6/27/2023,0,65
6/28/2023,0,65
6/29/2023,0,62
6/30/2023,0,63
7/1/2023,0,61
7/2/2023,0.31,68
7/3/2023,0.1,70
7/4/2023,0.36,69
7/5/2023,0,67
7/6/2023,0,70
7/7/2023,0,69
7/8/2023,0,71
7/9/2023,1.84,70
7/10/2023,0.17,67
7/11/2023,0,62
7/12/2023,0,71
7/13/2023,0,69
7/14/2023,1.02,68
7/15/2023,0.02,68
7/16/2023,0.84,74
7/17/2023,0,71
7/18/2023,0.24,70
7/19/2023,0,66
7/20/2023,0,67
7/21/2023,0.07,68
7/22/2023,0,67
7/23/2023,0,63
7/24/2023,0,66
7/25/2023,0.3,66
7/26/2023,0,63
7/28/2023,,68
7/29/2023,0.79,65
7/30/2023,0,61
7/31/2023,0,59
8/1/2023,0,61
8/2/2023,0,58
8/3/2023,0,58
8/4/2023,0.22,67
8/5/2023,0,67
8/6/2023,0,64
8/7/2023,0.75,68
8/8/2023,0.01,69
8/9/2023,0,68
8/10/2023,0.37,65
8/11/2023,0,64
8/12/2023,0.77,62
8/13/2023,0.17,68
8/14/2023,0.01,64
8/15/2023,1.2,67
8/16/2023,0.1,68
8/18/2023,1.63,66
8/19/2023,0,60
8/20/2023,0,59
8/21/2023,0,65
8/22/2023,0,62
8/23/2023,0,57
8/24/2023,0.41,64
8/25/2023,0.58,68
8/26/2023,0,68
8/27/2023,0,64
8/28/2023,0,66
8/29/2023,0,66
8/30/2023,0.19,65
8/31/2023,0,59
9/1/2023,0,53
9/2/2023,0,56
9/3/2023,0,64
9/4/2023,0,68
9/5/2023,0,72
9/6/2023,0,73
9/7/2023,0,71
9/8/2023,0.22,68
9/9/2023,0.38,71
9/10/2023,0.82,69
9/11/2023,0.07,68
9/12/2023,0,67
9/13/2023,0.83,66
9/14/2023,0,58
9/15/2023,0,54
9/16/2023,0,53
9/17/2023,0,51
9/18/2023,1.51,60
9/19/2023,0,53
9/20/2023,0,51
9/21/2023,0,51
9/22/2023,0,54
9/23/2023,0.71,55
9/24/2023,0.49,59
9/25/2023,0.63,55
9/26/2023,0.06,50
9/27/2023,0,45
9/28/2023,0.48,51
9/29/2023,4.1,57
9/30/2023,0.15,55
10/1/2023,0,55
10/2/2023,0,57
10/3/2023,0,54
10/4/2023,0,59
10/5/2023,0,56
10/6/2023,0.2,64
10/7/2023,1.37,51
10/8/2023,0,47
10/9/2023,0,42
10/10/2023,0,48
10/11/2023,0,49
10/12/2023,0,47
10/13/2023,0,46
10/14/2023,0.43,48
10/15/2023,0,46
10/16/2023,0,46
10/17/2023,0,46
10/18/2023,0,50
10/19/2023,0,46
10/20/2023,0.59,53
10/21/2023,0.4,55
10/22/2023,0,45
10/23/2023,0,41
10/24/2023,0,40
10/25/2023,0,44
10/26/2023,0,49
10/27/2023,0,56
10/28/2023,0,59
10/29/2023,0.61,49
10/30/2023,0.33,48
10/31/2023,0,41
11/1/2023,0.02,33
11/2/2023,0,28
11/3/2023,0,34
11/4/2023,0,40
11/5/2023,0,43
11/6/2023,0,37
11/7/2023,0.23,49
11/8/2023,0,37
11/9/2023,0,35
11/10/2023,0,42
11/11/2023,0,35
11/12/2023,0,30
11/13/2023,0,28
11/14/2023,0,35
11/15/2023,0,30
11/16/2023,0,38
11/17/2023,0,39
11/18/2023,0.01,37
11/19/2023,0,33
11/20/2023,0,29
11/21/2023,0.42,28
11/22/2023,1.42,44
11/23/2023,0,39
11/24/2023,0,29
11/25/2023,0,24
11/26/2023,0.52,26
11/27/2023,0.09,34
11/28/2023,0,30
11/29/2023,0,25
11/30/2023,0,29
12/1/2023,0.26,36
12/2/2023,0,42
12/3/2023,0.47,39
12/4/2023,0,38
12/5/2023,0,34
12/6/2023,0,28
12/7/2023,0,28
12/8/2023,0,29
12/9/2023,0,33
12/10/2023,1.06,39
12/11/2023,0.4,35
12/12/2023,0,28
12/13/2023,0,32
12/14/2023,0,26
12/15/2023,0,33
12/16/2023,0,34
12/17/2023,0.27,45
12/18/2023,2.64,40
12/19/2023,0,30
12/20/2023,0,26
12/21/2023,0,25
12/22/2023,0,20
12/23/2023,0,25
12/24/2023,0,36
12/25/2023,0,37
12/26/2023,0,35
12/27/2023,0.29,41
12/28/2023,1.57,46
12/29/2023,0.01,44
12/30/2023,0,37
12/31/2023,0,35
